CR_ID,Project_ID,CR_Category,Severity,Estimated_Effort_Hours,Actual_Effort_Hours,Schedule_Impact_Days,Resource_Impact_FTE,Root_Cause,Environment_Found
PRJ0001_CR01,PRJ0001,Scope,Critical,162,494,40,4.3,Missed Dependency,UAT
PRJ0001_CR02,PRJ0001,Compliance,Medium,363,303,44,4.7,Requirement Gap,PROD
PRJ0001_CR03,PRJ0001,Defect,Medium,103,503,24,1.7,Compliance Change,DEV
PRJ0001_CR04,PRJ0001,Compliance,Low,137,62,20,2.3,Requirement Gap,DEV
PRJ0001_CR05,PRJ0001,Compliance,Medium,355,541,25,4.5,Production Defect,DEV
PRJ0002_CR01,PRJ0002,Scope,High,270,49,7,4.7,Client Scope Change,DEV
PRJ0002_CR02,PRJ0002,Scope,Medium,469,610,5,0.9,Production Defect,DEV
PRJ0002_CR03,PRJ0002,Defect,Medium,357,516,35,1.2,Compliance Change,PROD
PRJ0002_CR04,PRJ0002,Enhancement,Medium,495,582,44,1.4,Client Scope Change,UAT
PRJ0002_CR05,PRJ0002,Compliance,Critical,480,559,28,1.0,Missed Dependency,DEV
PRJ0002_CR06,PRJ0002,Compliance,Low,321,597,14,3.1,Requirement Gap,DEV
PRJ0002_CR07,PRJ0002,Scope,Medium,54,62,21,0.8,Missed Dependency,UAT
PRJ0002_CR08,PRJ0002,Enhancement,Medium,296,165,36,3.1,Missed Dependency,UAT
PRJ0002_CR09,PRJ0002,Enhancement,Medium,68,129,42,2.4,Production Defect,UAT
PRJ0002_CR10,PRJ0002,Enhancement,Low,364,699,41,0.9,Production Defect,PROD
PRJ0003_CR01,PRJ0003,Defect,Low,324,99,43,4.4,Production Defect,DEV
PRJ0003_CR02,PRJ0003,Defect,Low,337,113,26,3.5,Compliance Change,PROD
PRJ0003_CR03,PRJ0003,Compliance,High,124,351,15,1.7,Missed Dependency,PROD
PRJ0004_CR01,PRJ0004,Enhancement,Low,77,107,44,4.6,Compliance Change,DEV
PRJ0004_CR02,PRJ0004,Compliance,Medium,240,160,2,1.9,Requirement Gap,UAT
PRJ0004_CR03,PRJ0004,Defect,Medium,361,135,22,4.0,Production Defect,PROD
PRJ0004_CR04,PRJ0004,Defect,Medium,462,196,11,4.5,Requirement Gap,DEV
PRJ0004_CR05,PRJ0004,Compliance,Critical,430,284,17,1.2,Requirement Gap,UAT
PRJ0004_CR06,PRJ0004,Scope,Critical,133,234,29,2.1,Missed Dependency,DEV
PRJ0004_CR07,PRJ0004,Scope,Medium,224,366,17,4.4,Client Scope Change,UAT
PRJ0004_CR08,PRJ0004,Enhancement,High,500,58,7,4.4,Client Scope Change,DEV
