Project_ID,Predicted_Total_FTE,PM_Count,BA_Count,Python_SSE_Count,Python_Dev_Count,React_Dev_Count,Manual_Tester_Count,Automation_Tester_Count,DevOps_Count,Architect_Count,Actual_Effort_Hours,Schedule_Variance_Percent,Cost_Variance_Percent,Escaped_Defect_Count
PRJ0001,23,1,3,5,1,5,2,3,2,1,4945,28.06,26.38,5
PRJ0002,15,2,1,1,1,2,2,3,2,1,7559,25.45,2.81,10
PRJ0003,16,2,3,1,1,5,1,1,1,1,6574,37.64,2.98,32
PRJ0004,20,1,1,3,3,2,4,3,2,1,18695,26.86,6.95,28
PRJ0005,25,1,3,3,5,3,4,2,2,2,26053,-0.33,33.18,15
PRJ0006,21,1,1,4,6,2,2,1,2,2,23385,31.21,28.94,8
PRJ0007,26,2,1,4,5,5,4,2,1,2,24606,22.67,10.06,35
PRJ0008,20,2,2,5,5,1,1,1,1,2,8375,2.11,-0.73,19
PRJ0009,24,1,3,5,6,2,1,2,2,2,27247,36.04,34.27,31
PRJ0010,15,2,1,1,4,1,1,2,1,2,21819,44.38,8.37,27
PRJ0011,22,1,3,4,5,3,1,2,1,2,27181,21.88,11.77,23
PRJ0012,27,2,2,5,5,3,4,3,2,1,17869,24.32,18.34,21
PRJ0013,16,2,2,1,2,2,4,1,1,1,23153,28.92,15.49,19
PRJ0014,27,2,3,4,5,4,4,2,1,2,18078,35.75,5.98,9
PRJ0015,24,2,2,3,4,4,3,3,1,2,20516,31.94,23.05,33
PRJ0016,22,2,1,5,2,3,4,1,2,2,31343,41.52,12.77,25
PRJ0017,16,2,1,3,2,1,2,1,2,2,6461,16.22,13.36,11
PRJ0018,19,1,1,2,4,1,3,3,2,2,26337,10.21,3.15,14
PRJ0019,20,2,1,2,3,5,3,1,1,2,19557,4.73,18.02,4
PRJ0020,23,2,3,1,6,2,2,3,2,2,9502,31.08,7.94,36
PRJ0021,27,1,1,5,6,4,4,3,2,1,11530,26.94,32.74,23
PRJ0022,17,1,1,4,5,1,2,1,1,1,14408,42.43,30.43,11
PRJ0023,19,2,2,2,3,3,4,1,1,1,13237,44.52,33.38,33
PRJ0024,16,2,1,1,1,5,2,1,1,2,28114,-0.23,17.07,2
PRJ0025,26,1,3,5,6,4,1,3,2,1,24497,-4.38,12.72,5
PRJ0026,21,1,1,2,6,3,2,3,1,2,13731,34.21,16.8,22
PRJ0027,25,2,3,5,6,2,2,2,2,1,11176,33.63,15.82,32
PRJ0028,23,2,3,5,2,3,3,2,2,1,28131,42.51,9.44,0
PRJ0029,19,1,2,2,1,4,3,3,1,2,9114,-1.58,18.41,39
PRJ0030,24,2,2,2,4,5,4,2,1,2,15699,27.16,8.79,27
PRJ0031,17,1,1,1,4,3,4,1,1,1,5537,34.23,25.1,15
PRJ0032,21,1,3,2,3,4,1,3,2,2,10990,40.25,28.52,21
PRJ0033,23,1,3,5,1,4,3,2,2,2,21227,14.42,32.54,11
PRJ0034,25,1,3,4,6,4,3,1,2,1,9423,30.45,21.29,21
PRJ0035,22,2,1,5,4,2,3,2,2,1,18173,30.72,16.08,33
PRJ0036,13,1,1,2,2,1,2,1,2,1,27302,28.88,7.23,26
PRJ0037,21,2,2,5,3,4,1,2,1,1,27878,34.26,26.63,8
