Project_ID,Role,Resource_Count,Location,Allocated_FTE,Avg_Experience_Years
PRJ0001,PM,1,Hyderabad,0.9,11.7
PRJ0001,BA,3,Kolkata,2.9,3.9
PRJ0001,Python SSE,5,Hyderabad,4.3,3.9
PRJ0001,Python Dev,1,Bangalore,0.8,6.6
PRJ0001,React Dev,5,Bangalore,4.8,9.2
PRJ0001,Manual Tester,2,Kolkata,1.9,8.4
PRJ0001,Automation Tester,3,Hyderabad,2.4,5.5
PRJ0001,DevOps,2,US,1.8,12.3
PRJ0001,Architect,1,Chennai,0.8,2.8
PRJ0002,PM,2,Hyderabad,1.8,14.0
PRJ0002,BA,1,Chennai,0.9,8.6
PRJ0002,Python SSE,1,Kolkata,0.9,3.4
PRJ0002,Python Dev,1,Chennai,1.0,11.2
PRJ0002,React Dev,2,Bangalore,1.6,7.2
PRJ0002,Manual Tester,2,Hyderabad,1.6,10.7
PRJ0002,Automation Tester,3,US,2.6,8.0
PRJ0002,DevOps,2,Pune,1.8,3.3
PRJ0002,Architect,1,US,0.9,9.7
PRJ0003,PM,2,Hyderabad,1.8,4.6
PRJ0003,BA,3,Hyderabad,2.9,4.0
PRJ0003,Python SSE,1,Kolkata,1.0,5.2
PRJ0003,Python Dev,1,Hyderabad,0.9,10.4
PRJ0003,React Dev,5,US,5.0,8.7
PRJ0003,Manual Tester,1,US,0.9,4.3
PRJ0003,Automation Tester,1,Pune,1.0,9.0
PRJ0003,DevOps,1,Chennai,0.8,5.8
PRJ0003,Architect,1,Kolkata,0.9,8.0
PRJ0004,PM,1,US,1.0,5.6
PRJ0004,BA,1,US,0.8,12.5
PRJ0004,Python SSE,3,Bangalore,2.5,3.3
PRJ0004,Python Dev,3,Chennai,2.5,5.4
PRJ0004,React Dev,2,Pune,1.9,4.4
PRJ0004,Manual Tester,4,US,3.9,8.1
PRJ0004,Automation Tester,3,Bangalore,2.9,12.2
PRJ0004,DevOps,2,Kolkata,1.9,12.0
PRJ0004,Architect,1,Kolkata,0.8,11.3
PRJ0005,PM,1,Chennai,0.8,7.0
PRJ0005,BA,3,Hyderabad,2.8,12.8
PRJ0005,Python SSE,3,Chennai,2.7,6.9
PRJ0005,Python Dev,5,Kolkata,4.3,4.5
PRJ0005,React Dev,3,Chennai,2.8,5.9
PRJ0005,Manual Tester,4,Hyderabad,3.6,4.6
PRJ0005,Automation Tester,2,Hyderabad,1.9,13.5
PRJ0005,DevOps,2,US,1.7,3.0
PRJ0005,Architect,2,Chennai,1.9,9.4
PRJ0006,PM,1,Bangalore,0.9,7.0
PRJ0006,BA,1,Pune,1.0,6.7
PRJ0006,Python SSE,4,Chennai,4.0,2.2
PRJ0006,Python Dev,6,Chennai,5.3,2.1
PRJ0006,React Dev,2,Bangalore,1.7,6.7
PRJ0006,Manual Tester,2,Hyderabad,1.8,10.8
PRJ0006,Automation Tester,1,Chennai,1.0,7.9
PRJ0006,DevOps,2,Bangalore,1.8,2.3
PRJ0006,Architect,2,Bangalore,1.9,11.6
PRJ0007,PM,2,Bangalore,1.7,4.5
PRJ0007,BA,1,Bangalore,0.9,12.6
PRJ0007,Python SSE,4,US,3.9,8.7
PRJ0007,Python Dev,5,Chennai,4.9,3.0
PRJ0007,React Dev,5,US,4.4,8.7
PRJ0007,Manual Tester,4,Pune,3.8,9.8
PRJ0007,Automation Tester,2,Hyderabad,1.8,2.2
PRJ0007,DevOps,1,Bangalore,0.8,10.3
PRJ0007,Architect,2,Bangalore,1.9,6.4
PRJ0008,PM,2,US,1.6,4.9
PRJ0008,BA,2,Chennai,1.6,2.0
PRJ0008,Python SSE,5,Hyderabad,4.7,7.6
PRJ0008,Python Dev,5,Kolkata,4.2,10.5
PRJ0008,React Dev,1,US,1.0,2.9
PRJ0008,Manual Tester,1,Pune,1.0,11.5
PRJ0008,Automation Tester,1,US,0.9,11.6
PRJ0008,DevOps,1,Pune,0.9,8.5
PRJ0008,Architect,2,US,1.7,5.2
PRJ0009,PM,1,Chennai,0.9,2.0
PRJ0009,BA,3,US,2.6,9.0
PRJ0009,Python SSE,5,US,4.5,3.8
PRJ0009,Python Dev,6,Chennai,5.4,6.0
PRJ0009,React Dev,2,Chennai,1.8,13.2
PRJ0009,Manual Tester,1,Pune,1.0,4.9
PRJ0009,Automation Tester,2,Hyderabad,1.7,11.3
PRJ0009,DevOps,2,Kolkata,1.7,7.7
PRJ0009,Architect,2,Hyderabad,1.8,10.0
PRJ0010,PM,2,Kolkata,1.6,11.6
PRJ0010,BA,1,Bangalore,0.9,7.2
PRJ0010,Python SSE,1,Pune,0.9,8.8
PRJ0010,Python Dev,4,Pune,3.3,2.9
PRJ0010,React Dev,1,Hyderabad,0.9,4.9
PRJ0010,Manual Tester,1,Chennai,0.8,7.5
PRJ0010,Automation Tester,2,Bangalore,1.8,10.0
PRJ0010,DevOps,1,Hyderabad,1.0,10.1
PRJ0010,Architect,2,Pune,1.6,13.3
PRJ0011,PM,1,Chennai,0.8,6.4
PRJ0011,BA,3,US,2.8,9.0
PRJ0011,Python SSE,4,US,4.0,3.3
PRJ0011,Python Dev,5,Pune,4.5,9.4
PRJ0011,React Dev,3,Chennai,2.6,9.3
PRJ0011,Manual Tester,1,US,0.8,11.9
PRJ0011,Automation Tester,2,US,1.7,6.9
PRJ0011,DevOps,1,Pune,0.8,2.4
PRJ0011,Architect,2,Hyderabad,1.6,4.8
PRJ0012,PM,2,US,1.6,9.9
PRJ0012,BA,2,Chennai,1.9,4.6
PRJ0012,Python SSE,5,Hyderabad,4.9,7.0
PRJ0012,Python Dev,5,Hyderabad,4.4,10.8
PRJ0012,React Dev,3,Bangalore,2.7,10.0
PRJ0012,Manual Tester,4,Bangalore,4.0,10.2
PRJ0012,Automation Tester,3,Hyderabad,2.4,12.0
PRJ0012,DevOps,2,Kolkata,1.8,10.9
PRJ0012,Architect,1,Bangalore,1.0,8.7
PRJ0013,PM,2,Kolkata,1.9,4.6
PRJ0013,BA,2,Hyderabad,1.8,3.9
PRJ0013,Python SSE,1,Bangalore,0.9,11.3
PRJ0013,Python Dev,2,Chennai,1.8,12.6
PRJ0013,React Dev,2,Pune,1.7,9.4
PRJ0013,Manual Tester,4,US,3.3,7.3
PRJ0013,Automation Tester,1,Hyderabad,0.9,7.3
PRJ0013,DevOps,1,Bangalore,0.8,8.1
PRJ0013,Architect,1,Bangalore,0.9,5.4
PRJ0014,PM,2,Kolkata,2.0,4.1
PRJ0014,BA,3,Chennai,2.7,10.3
PRJ0014,Python SSE,4,Bangalore,3.3,12.1
PRJ0014,Python Dev,5,Pune,4.4,6.8
PRJ0014,React Dev,4,Kolkata,3.5,5.7
PRJ0014,Manual Tester,4,Bangalore,3.4,11.3
PRJ0014,Automation Tester,2,Kolkata,1.8,3.4
PRJ0014,DevOps,1,Chennai,0.8,11.3
PRJ0014,Architect,2,Bangalore,1.9,11.8
PRJ0015,PM,2,Kolkata,1.7,8.7
PRJ0015,BA,2,Hyderabad,1.7,10.7
PRJ0015,Python SSE,3,US,3.0,9.2
PRJ0015,Python Dev,4,Pune,3.5,9.0
PRJ0015,React Dev,4,Pune,3.9,5.7
PRJ0015,Manual Tester,3,US,2.8,6.7
PRJ0015,Automation Tester,3,Chennai,2.8,3.0
PRJ0015,DevOps,1,Chennai,0.9,11.5
PRJ0015,Architect,2,Pune,1.9,11.9
PRJ0016,PM,2,Hyderabad,1.9,11.3
PRJ0016,BA,1,Chennai,0.9,13.6
PRJ0016,Python SSE,5,Pune,4.8,3.7
PRJ0016,Python Dev,2,Bangalore,1.6,7.8
PRJ0016,React Dev,3,Bangalore,2.7,3.2
PRJ0016,Manual Tester,4,Chennai,3.9,5.4
PRJ0016,Automation Tester,1,Pune,0.9,12.9
PRJ0016,DevOps,2,Pune,1.9,3.1
PRJ0016,Architect,2,Pune,1.9,12.6
PRJ0017,PM,2,Chennai,1.8,11.8
PRJ0017,BA,1,Hyderabad,0.9,11.0
PRJ0017,Python SSE,3,Pune,2.6,12.3
PRJ0017,Python Dev,2,Kolkata,1.9,6.0
PRJ0017,React Dev,1,Kolkata,1.0,7.2
PRJ0017,Manual Tester,2,Hyderabad,1.9,12.7
PRJ0017,Automation Tester,1,Hyderabad,0.9,4.2
PRJ0017,DevOps,2,US,1.8,13.1
PRJ0017,Architect,2,Chennai,1.7,3.0
PRJ0018,PM,1,Chennai,0.8,12.6
PRJ0018,BA,1,Kolkata,0.9,14.0
PRJ0018,Python SSE,2,US,1.8,6.9
PRJ0018,Python Dev,4,Hyderabad,3.9,2.9
PRJ0018,React Dev,1,Bangalore,0.9,7.4
PRJ0018,Manual Tester,3,US,2.7,3.5
PRJ0018,Automation Tester,3,Chennai,2.8,4.2
PRJ0018,DevOps,2,Pune,1.8,12.9
PRJ0018,Architect,2,Kolkata,1.9,8.2
PRJ0019,PM,2,Chennai,1.8,12.5
PRJ0019,BA,1,Hyderabad,0.8,13.3
PRJ0019,Python SSE,2,Chennai,1.8,4.9
PRJ0019,Python Dev,3,Chennai,2.6,2.6
