industry,project_type,delivery_model,technology_stack,complexity,estimated_team_size,planned_effort,budget,predicted_hours,project_duration,technology_count,dependency_count,requirement_stability_index,criticality,total_team_size,avg_team_experience,offshore_ratio,PM_count,QA_count,Dev_count,target_staff_Automation_Tester,target_staff_Business_Analyst,target_staff_Cloud_Engineer,target_staff_Data_Engineer,target_staff_Data_Scientist,target_staff_DevOps_Engineer,target_staff_Java_Architect,target_staff_Java_Developer,target_staff_Java_Lead,target_staff_Java_SSE,target_staff_Manual_Tester,target_staff_Project_Manager,target_staff_Python_Developer,target_staff_Python_Lead,target_staff_QA_Lead,target_staff_React_Developer,target_staff_React_Lead,target_staff_SAP_Consultant,target_staff_Solution_Architect,target_staff_Angular_Developer,target_staff_BI_Developer,target_staff_Enterprise_Architect,target_staff_Functional_Consultant,target_staff_L1_Support,target_staff_L2_Support,target_staff_L3_Support,target_staff_PEGA_LBA,target_staff_PEGA_LSA,target_staff_PEGA_SA,target_staff_PEGA_SBA,target_staff_PEGA_SSA,target_staff_PEGA_Team_Lead,target_staff_Performance_Tester,target_staff_Product_Owner,target_staff_Program_Manager,target_staff_Python_Architect,target_staff_React_SSE,target_staff_SRE_Engineer,target_staff_Salesforce_Developer,target_staff_Scrum_Master,target_staff_Technical_Architect,CR_count,total_schedule_impact,avg_CR_effort,avg_CR_severity,total_effort_increase,total_schedule_increase,defect_linked_CR_ratio,CR_frequency,CR_volatility_score,return_frequency,rejection_frequency,resubmission_count,approval_cycle_count,workflow_cycle_duration,approval_turnaround_time,cr_return_frequency,cr_rejection_frequency,cr_resubmission_count,cr_approval_cycle_count,cr_workflow_cycle_duration,cr_approval_turnaround_time,actual_effort_hours,schedule_variance_percent,delayed_flag
Retail,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,153.0,224.0,2.2,1120.0,153.0,0.4,5.0,48.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,0,0
Manufacturing,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,5.0,4.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,273.0,317.4,2.1,3174.0,273.0,0.4,10.0,86.52999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3174.0,0,0
Manufacturing,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,16.0,7.0,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,84.0,261.6666666666667,1.6666666666666667,785.0,84.0,0.6666666666666666,3.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0,0
"Banking, Financial Services and Insurance",0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,11.0,6.071428571428571,0.6363636363636364,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,188.0,298.2,2.5,2982.0,188.0,0.3,10.0,61.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2982.0,0,0
Energy,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,4.0,2.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,93.0,218.33333333333334,2.8333333333333335,1310.0,93.0,0.6666666666666666,6.0,31.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.0,0,0
"Banking, Financial Services and Insurance",0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,4.0,4.4,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,241.0,258.8181818181818,2.6363636363636362,2847.0,241.0,0.6363636363636364,11.0,77.49090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847.0,0,0
Telecom,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,9.0,6.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,176.0,244.14285714285714,1.8571428571428572,1709.0,176.0,0.14285714285714285,7.0,56.15714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,0,0
Manufacturing,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,16.0,5.642857142857143,0.8125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,238.0,185.1818181818182,2.5454545454545454,2037.0,238.0,0.36363636363636365,11.0,76.56363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,0,0
Manufacturing,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,24.0,5.333333333333333,0.875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,465.0,3.5,930.0,37.0,1.0,2.0,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,0,0
Energy,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,17.0,6.071428571428571,0.8235294117647058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,114.0,318.3333333333333,2.1666666666666665,1910.0,114.0,0.3333333333333333,6.0,37.24999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,0,0
