project_id,snapshot_date,role_id,role,location_type,location,resource_count,allocated_fte,avg_experience_years,allocation_percent,allocation_start_date,allocation_end_date,rate_per_day,planned_effort,planned_cost
1,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
1,2025-12-01,6,Manual Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
1,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
1,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
1,2025-12-01,39,SAP Consultant,Onsite,Onsite,3,3,9.0,100,2025-11-01,2026-05-30,1100,480,528000
2,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
2,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
2,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
2,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
2,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
2,2025-12-01,26,Python Developer,Offshore,Offshore,7,7,5.5,100,2025-11-01,2026-05-30,1000,1120,1120000
2,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
2,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
3,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
3,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
3,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
3,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
3,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
3,2025-12-01,26,Python Developer,Offshore,Offshore,6,6,5.5,100,2025-11-01,2026-05-30,1000,960,960000
3,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
3,2025-12-01,29,React Developer,Offshore,Offshore,6,6,5.5,100,2025-11-01,2026-05-30,950,960,912000
3,2025-12-01,27,React Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1050,160,168000
3,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
