Role,Project Count,Avg Count,Non-Zero Frequency,Dominance Flag
Business Analyst,122,1.0,1.0,DOMINANT
Project Manager,122,1.0,1.0,DOMINANT
QA Lead,122,1.0,1.0,DOMINANT
Manual Tester,117,1.0,0.9590163934426229,DOMINANT
Automation Tester,100,1.0,0.819672131147541,
DevOps Engineer,93,1.0,0.7622950819672131,
Python Developer,89,5.52808988764045,0.7295081967213115,
Solution Architect,83,1.0,0.680327868852459,
Java Developer,24,6.083333333333333,0.19672131147540983,
React Developer,19,5.578947368421052,0.1557377049180328,
Python Lead,17,1.0,0.13934426229508196,
Java Lead,15,1.0,0.12295081967213115,
SAP Consultant,14,5.785714285714286,0.11475409836065574,
React Lead,14,1.0,0.11475409836065574,
