Role,Non-Zero Projects,Avg Staffing,Non-Zero Frequency
Project_Manager,112,1.0,0.8421052631578947
Solution_Architect,84,1.0,0.631578947368421
DevOps_Engineer,68,1.0,0.5112781954887218
QA_Lead,66,1.0,0.49624060150375937
Manual_Tester,60,1.0,0.45112781954887216
Automation_Tester,52,1.0,0.39097744360902253
React_Developer,37,7.378378378378378,0.2781954887218045
Java_Developer,28,6.0,0.21052631578947367
Python_Lead,19,1.0,0.14285714285714285
Java_Lead,18,1.0,0.13533834586466165
Python_Developer,17,6.470588235294118,0.12781954887218044
Cloud_Engineer,16,4.625,0.12030075187969924
React_Lead,16,1.0,0.12030075187969924
SAP_Consultant,14,5.928571428571429,0.10526315789473684
Business_Analyst,13,1.0,0.09774436090225563
Data_Engineer,3,5.333333333333333,0.022556390977443608
Data_Scientist,3,1.0,0.022556390977443608
Java_Architect,0,0.0,0.0
Java_SSE,0,0.0,0.0
Angular_Developer,0,0.0,0.0
BI_Developer,0,0.0,0.0
Enterprise_Architect,0,0.0,0.0
Functional_Consultant,0,0.0,0.0
L1_Support,0,0.0,0.0
L2_Support,0,0.0,0.0
L3_Support,0,0.0,0.0
PEGA_LBA,0,0.0,0.0
PEGA_LSA,0,0.0,0.0
PEGA_SA,0,0.0,0.0
PEGA_SBA,0,0.0,0.0
PEGA_SSA,0,0.0,0.0
PEGA_Team_Lead,0,0.0,0.0
Performance_Tester,0,0.0,0.0
Product_Owner,0,0.0,0.0
Program_Manager,0,0.0,0.0
Python_Architect,0,0.0,0.0
React_SSE,0,0.0,0.0
SRE_Engineer,0,0.0,0.0
Salesforce_Developer,0,0.0,0.0
Scrum_Master,0,0.0,0.0
Technical_Architect,0,0.0,0.0
